CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2022048683,Y,N,Y,Y,1.0,U,Y,Y,N,737.0,N,Y,1.0,U,Y,Y,N,Y,N,,,,,1
2022084556,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2022089299,N,U,N,U,9.0,U,U,U,U,99999.0,U,N,0.0,N,N,U,U,Y,N,,,,,2
2022076696,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2022078521,N,Y,N,N,2.0,Y,Y,Y,Y,600.0,,,,,,,,N,N,,,,,1
2022059069,N,Y,N,Y,1.0,Y,Y,Y,N,650.0,,,,,,,,N,N,,,,,2
2022074737,N,Y,U,Y,0.0,N,N,Y,Y,1000.0,,,,,,,,N,N,,,,,1
2022086317,N,N,U,N,0.0,N,N,N,N,883.0,,,,,,,,N,N,,,,,1
2022087550,Y,N,Y,Y,1.0,Y,Y,Y,Y,649.0,,,,,,,,N,N,,,,,1
2022035823,N,U,Y,Y,1.0,U,Y,U,U,883.0,,,,,,,,N,N,,,,,2
2022075432,N,U,U,Y,1.0,U,Y,Y,Y,600.0,,,,,,,,N,N,,,,,1
2022053166,Y,Y,Y,Y,1.0,U,Y,Y,N,600.0,,,,,,,,N,N,,,,,1
2022103470,N,N,U,Y,1.0,Y,Y,Y,Y,1100.0,,,,,,,,N,N,,,,,1
2022071834,N,N,Y,Y,1.0,Y,Y,N,N,954.0,,,,,,,,N,N,,,,,1
2022073614,Y,N,N,Y,0.0,N,N,N,N,1340.0,N,N,0.0,N,N,N,N,Y,N,,,,,1
2022034402,Y,Y,Y,Y,2.0,Y,Y,Y,Y,1687.0,,,,,,,,N,N,,,,,1
2022054091,N,U,Y,Y,1.0,U,Y,Y,Y,779.0,,,,,,,,N,N,,,,,1
2022064932,Y,Y,U,N,0.0,N,N,Y,Y,1340.0,,,,,,,,N,N,,,,,1
2022073137,N,Y,N,N,1.0,U,Y,Y,N,599.0,,,,,,,,N,N,,,,,1
2022068394,N,N,U,N,1.0,N,Y,Y,N,450.0,,,,,,,,N,N,,,,,1
2022080352,N,N,U,Y,1.0,Y,Y,N,N,600.0,,,,,,,,N,N,,,,,1
2022052014,N,Y,U,Y,1.0,Y,Y,Y,Y,125.0,,,,,,,,N,N,,,,,1
2022047051,N,Y,N,Y,1.0,Y,Y,Y,Y,805.0,,,,,,,,N,N,,,,,1
2022074510,N,N,N,Y,3.0,Y,Y,Y,N,650.0,,,,,,,,N,N,,,,,2
2022084998,Y,U,U,Y,0.0,N,N,Y,Y,750.0,,,,,,,,N,N,,,,,1
2022066558,N,Y,Y,Y,9.0,U,U,Y,N,600.0,,,,,,,,N,N,,,,,2
2022065963,N,Y,N,Y,0.0,N,N,Y,N,1200.0,,,,,,,,N,N,,,,,1
2022052502,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2022037834,N,U,U,U,9.0,U,U,U,U,11249.0,,,,,,,,N,N,,,,,2
2022092137,Y,U,Y,Y,1.0,N,Y,Y,Y,1000.0,,,,,,,,N,N,,,,,2
2022084356,N,N,U,Y,1.0,Y,Y,Y,Y,800.0,,,,,,,,N,N,,,,,1
2022079489,N,U,Y,Y,1.0,U,Y,U,U,400.0,,,,,,,,N,N,,,,,1
2022075209,,,,,,,,,,,,,,,,,,,,N,Y,N,Y,2
2022089551,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,1
2022089551,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,2
2022081794,N,Y,U,Y,2.0,Y,Y,N,Y,1000.0,Y,Y,1.0,Y,Y,Y,Y,Y,N,,,,,1
2022036068,N,N,Y,N,1.0,Y,Y,Y,Y,1050.0,,,,,,,,N,N,,,,,1
2022101010,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2022062054,Y,Y,Y,Y,0.0,N,N,Y,N,1746.0,,,,,,,,N,N,,,,,2
2022065755,Y,Y,U,Y,0.0,N,N,Y,N,1450.0,,,,,,,,N,N,,,,,1
2022089338,Y,U,U,Y,1.0,U,Y,Y,Y,937.0,,,,,,,,N,N,,,,,1
