CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2022081904,2022,1TTF532C5G,1,TX,123B482,7.0,1
2022122897,2022,3H3V532K6N,1,ME,458294Z,7.0,1
2022026944,2022,9999999999,1,TN,151070T,7.0,2
2022071070,2022,13SVE30245,1,PA,XML5026,3.0,1
2022021247,2022,9999999999,1,ME,29TLR,7.0,1
2022063724,2022,46UFU2028J,1,PA,XMH5587,3.0,3
2022008944,2022,1GRAA06291,1,ME,3015927,6.0,1
2022004500,2022,9999999999,1,PA,PT7370F,7.0,1
2022015437,2022,16HCB1212P,1,PA,XP07961,3.0,1
2022021247,2022,9999999999,1,PA,XKL1674,3.0,2
2022071656,2022,1DW1A532X2,1,ME,239704G,7.0,2
2022052785,2022,99999,1,PA,PT968H8,7.0,2
2022066348,2022,B101HT7014,1,PA,XMB4637,6.0,1
2022003439,2022,9999999999,1,TN,U972171,7.0,1
2022010818,2022,9999999999,1,IN,P927750,6.0,2
2022092226,2022,13N1452098,1,OK,9674JQ,7.0,2
2022118050,2022,9999999999,1,TN,216419T,7.0,1
2022111555,2022,1TA144025F,1,TN,U893102,7.0,1
2022009249,2022,9999999999,1,TN,T926986,6.0,1
2022046250,2022,1GRAP0622F,1,OK,4206KI,7.0,2
2022078311,2022,1RBT31202W,1,PA,PT0609S,6.0,1
2023021499,2022,UNKNOWN,1,ZZ,UNKNOWN,7.0,2
2022089367,2022,5A3C716D8L,1,PA,XMJ4957,3.0,2
2022092229,2022,55NBE2027J,1,PA,PT667D3,8.0,1
2022022238,2022,1JJV532D9H,1,ME,403394Z,7.0,2
2022008400,2022,9999999999,1,CA,4TK9831,7.0,1
2022029513,2022,9999999999,1,PA,XM3034,8.0,2
2022108174,2022,5E0AA1641L,1,PA,PT607F8,7.0,1
2022016709,2022,,0,NJ,TXY972,7.0,1
2022090871,2022,1GR1P0623L,1,TN,046433T,7.0,1
2022107450,2022,1K9SD4222J,1,PA,PT506C3,7.0,2
2022068063,2022,4YMUL101XD,1,PA,HXD2394,7.0,2
2022015443,2022,,0,ME,454318Z,7.0,2
2022047015,2022,9999999999,1,IN,PA83802,6.0,1
2022068114,2022,20057,1,PA,99999,3.0,1
2022005066,2022,9999999999,1,OK,8421JN,7.0,1
2022048385,2022,9999999999,1,PA,008910,4.0,1
2022054863,2022,1TTF482A0G,1,PA,PT469B1,7.0,2
2022058985,2022,1TTF482A5E,1,PA,PT905D7,6.0,2
2022047721,2022,1UYVS2532P,1,ME,C254348,7.0,2
2022059131,2022,1JJV482DXF,1,IN,P458627,7.0,2
2022022134,2022,1JJV532Y8S,1,PA,PT1384L,7.0,1
2022105466,2022,3H3V532K7P,1,ME,C267563,7.0,1
2022069294,2022,5MAPA48257,1,PA,PT834K1,7.0,1
2022060746,2022,1UYVS2532J,1,PA,PT686D1,7.0,2
2022032729,2022,1UYVS2535J,1,ON,W4697K,7.0,1
2022088243,2022,LJRC54267J,1,VA,886779TL,6.0,2
2022120449,2022,5WSABB334N,1,PA,PT602H0,7.0,1
2022089085,2022,1UYVS2533K,1,OH,TRE3388,7.0,2
2022059951,2022,1JJV532DXD,1,ME,2436852,7.0,1
2022032618,2022,1GRAA0628K,1,PA,PT972F2,7.0,1
2022084509,2022,1GRAA56247,2,OK,5011FT,7.0,1
2022015443,2022,,0,TN,136013T,7.0,3
2022077645,2022,9999999999,1,ZZ,,7.0,2
2022084509,2022,1GRAA56267,1,OK,4881FT,7.0,1
2022107956,2022,5HTSN42278,1,OH,TQV8197,7.0,2
2022076252,2022,431FS1823X,1,NY,BK32938,3.0,1
2022114047,2022,4PSFD3637F,1,WV,C447820,3.0,1
2022026944,2022,9999999999,1,TN,027764T,7.0,1
2022047809,2022,5B5PS1416E,1,DE,T185004,3.0,1
2022061918,2022,1JJV482DXH,1,TN,U698223,6.0,2
2022094212,2022,9999999999,1,IN,P739958,6.0,1
2022008375,2022,9999999999,1,IN,P500429,7.0,1
2022104508,2022,UNKNOWN,1,KS,3130760,7.0,2
2022018784,2022,1TTE532S3D,1,MI,C506718,7.0,2
2022084787,2022,1A9BB222XK,1,PA,XNZ7930,6.0,1
2022121010,2022,1UYVS2534M,1,ME,267453C,6.0,1
2022022777,2022,9999999999,1,TN,082963T,7.0,2
